name, republican voters, democratic voters, total voters, population, turnout
"Chickasaw, Iowa","3739","2264","6367","12023","0.5296"
"Clarke, Iowa","2706","1463","4405","9309","0.4732"
"Clay, Iowa","5870","2246","8542","16333","0.5230"
"Clayton, Iowa","5309","3236","9098","17590","0.5172"
"Clinton, Iowa","11249","10079","22748","47309","0.4808"
"Crawford, Iowa","4608","1985","6862","16940","0.4051"
"Dallas, Iowa","19288","15662","37617","84516","0.4451"
"Davis, Iowa","2721","976","3858","8860","0.4354"
"Decatur, Iowa","2296","1201","3703","8141","0.4549"
"Delaware, Iowa","5688","2956","9165","17327","0.5289"
"Des Moines, Iowa","9479","8178","18713","39739","0.4709"
"Dickinson, Iowa","6743","3051","10247","17243","0.5943"
"Dubuque, Iowa","23384","22774","49037","97003","0.5055"
"Emmet, Iowa","3121","1356","4707","9658","0.4874"
"Fayette, Iowa","5591","3666","9813","20054","0.4893"
"Floyd, Iowa","4371","3177","7985","15873","0.5031"
"Franklin, Iowa","3153","1490","4915","10170","0.4833"
"Fremont, Iowa","2401","959","3554","6950","0.5114"
"Greene, Iowa","2819","1688","4762","9011","0.5285"
"Grundy, Iowa","4516","1847","6766","12313","0.5495"
"Guthrie, Iowa","3603","1720","5654","10625","0.5321"
"Hamilton, Iowa","4450","2715","7589","15076","0.5034"
"Hancock, Iowa","3972","1582","5815","10835","0.5367"
"Hardin, Iowa","5231","2774","8423","17226","0.4890"
"Harrison, Iowa","4892","2123","7378","14149","0.5215"
"Henry, Iowa","5764","2897","9286","19773","0.4696"
"Howard, Iowa","2611","1674","4507","9332","0.4830"
"Humboldt, Iowa","3564","1251","5033","9487","0.5305"
"Ida, Iowa","2655","792","3590","6985","0.5140"
"Iowa, Iowa","5193","3070","8789","16311","0.5388"
"Jackson, Iowa","5821","3837","10204","19472","0.5240"
"Jasper, Iowa","10556","7108","18776","36708","0.5115"
"Jefferson, Iowa","3738","3702","8001","18090","0.4423"
"Johnson, Iowa","20993","49942","75637","146547","0.5161"
"Jones, Iowa","5718","3779","10011","20439","0.4898"
"Keokuk, Iowa","3385","1265","4858","10119","0.4801"
"Kossuth, Iowa","5637","2529","8505","15114","0.5627"
"Lee, Iowa","8762","6195","15893","34615","0.4591"
"Linn, Iowa","48183","58481","114664","221661","0.5173"
"Louisa, Iowa","3060","1643","4943","11142","0.4436"
"Lucas, Iowa","2873","1236","4297","8647","0.4969"
"Lyon, Iowa","5188","917","6336","11754","0.5391"
"Madison, Iowa","5336","2666","8523","15848","0.5378"
"Mahaska, Iowa","7404","2606","10494","22181","0.4731"
"Marion, Iowa","10940","5469","17554","33189","0.5289"
"Marshall, Iowa","9125","7623","17700","40312","0.4391"
"Mills, Iowa","5050","2080","7608","14972","0.5081"
"Mitchell, Iowa","3180","1879","5360","10763","0.4980"
"Monona, Iowa","3115","1244","4525","8898","0.5085"
"Monroe, Iowa","2635","1053","3844","7870","0.4884"
"Montgomery, Iowa","3431","1312","4998","10225","0.4888"
"Muscatine, Iowa","9549","8284","19086","42940","0.4445"
"O'Brien, Iowa","5735","1314","7348","14020","0.5241"
"Osceola, Iowa","2528","552","3197","6064","0.5272"
"Page, Iowa","4875","1801","6968","15391","0.4527"
"Palo Alto, Iowa","3079","1395","4674","9047","0.5166"
"Plymouth, Iowa","9659","2878","13057","25200","0.5181"
"Pocahontas, Iowa","2692","962","3831","6886","0.5563"
"Polk, Iowa","93421","119671","228420","474045","0.4819"
"Pottawattamie, Iowa","24441","15341","42226","93582","0.4512"
"Poweshiek, Iowa","4936","4272","9693","18533","0.5230"
"Ringgold, Iowa","1820","753","2684","5068","0.5296"
"Sac, Iowa","3692","1269","5158","9876","0.5223"
"Scott, Iowa","39083","40302","84878","172474","0.4921"
"Shelby, Iowa","4340","1649","6270","11800","0.5314"
"Sioux, Iowa","14761","2289","17989","34898","0.5155"
"Story, Iowa","19111","25085","48910","97090","0.5038"
"Tama, Iowa","4968","3194","8636","17319","0.4986"
"Taylor, Iowa","2108","755","3003","6216","0.4831"
"Union, Iowa","3521","1920","5768","12420","0.4644"
"Van Buren, Iowa","2524","843","3526","7271","0.4849"
"Wapello, Iowa","8710","5591","14996","34982","0.4287"
"Warren, Iowa","14773","10371","26916","49691","0.5417"
"Washington, Iowa","6170","3938","10824","22281","0.4858"
"Wayne, Iowa","2069","719","2921","6452","0.4527"
"Webster, Iowa","10049","6293","17239","36769","0.4688"
"Winnebago, Iowa","3437","1920","5717","10631","0.5378"
"Winneshiek, Iowa","5332","5238","11217","20561","0.5455"
"Woodbury, Iowa","24627","16102","42933","102779","0.4177"
"Worth, Iowa","2443","1523","4216","7572","0.5568"
"Wright, Iowa","3790","1890","5949","12779","0.4655"
"Ada, Idaho","93748","75676","195587","444028","0.4405"
"Adams, Idaho","1556","415","2183","3900","0.5597"
"Bannock, Idaho","17180","10342","33405","84377","0.3959"
"Bear Lake, Idaho","2203","255","2928","5945","0.4925"
"Benewah, Idaho","3101","780","4192","9092","0.4611"
"Bingham, Idaho","10907","2924","16625","45201","0.3678"
"Blaine, Idaho","3340","6416","10723","21791","0.4921"
"Boise, Idaho","2673","777","3812","7124","0.5351"
"Bonner, Idaho","10220","5140","16815","42536","0.3953"
"Bonneville, Idaho","26699","8930","44212","112232","0.3939"
"Boundary, Idaho","3789","933","5150","11681","0.4409"
"Butte, Idaho","914","160","1230","2501","0.4918"
"Camas, Idaho","410","110","599","1072","0.5588"
"Canyon, Idaho","46755","16683","72007","211698","0.3401"
"Caribou, Idaho","2275","271","3035","6887","0.4407"
"Cassia, Idaho","5949","1036","8178","23504","0.3479"
"Clark, Idaho","203","44","283","860","0.3291"
"Clearwater, Idaho","2852","704","3801","8497","0.4473"
"Custer, Idaho","1777","427","2413","4096","0.5891"
"Elmore, Idaho","5816","1814","8519","26018","0.3274"
"Franklin, Idaho","3901","385","5499","13406","0.4102"
"Fremont, Idaho","4091","651","5714","12943","0.4415"
"Gem, Idaho","5980","1229","7952","17184","0.4628"
"Gooding, Idaho","3743","930","5191","15185","0.3419"
"Idaho, Idaho","6441","1196","8223","16156","0.5090"
"Jefferson, Idaho","8436","976","11471","27839","0.4120"
"Jerome, Idaho","7347","2117","10667","22994","0.4639"
"Kootenai, Idaho","44449","16264","66286","154311","0.4296"
"Latah, Idaho","7255","8093","18146","39196","0.4630"
"Lemhi, Idaho","3011","733","4068","7723","0.5267"
"Lewis, Idaho","1202","270","1590","3853","0.4127"
"Lincoln, Idaho","1184","360","1748","5271","0.3316"
"Madison, Idaho","8941","1201","15687","39048","0.4017"
"Minidoka, Idaho","4887","1167","6870","20616","0.3332"
"Nez Perce, Idaho","10699","4828","17195","40369","0.4259"
"Oneida, Idaho","1531","184","2068","4343","0.4762"
"Owyhee, Idaho","3052","591","3920","11389","0.3442"
"Payette, Idaho","4306","892","5703","23026","0.2477"
"Power, Idaho","1666","699","2758","7654","0.3603"
"Shoshone, Idaho","3297","1384","5120","12452","0.4112"
"Teton, Idaho","2161","2157","4966","10960","0.4531"
"Twin Falls, Idaho","21063","6844","31893","83514","0.3819"
"Valley, Idaho","2906","1913","5349","10496","0.5096"
"Washington, Idaho","3283","776","4454","10172","0.4379"
"Adams, Illinois","22732","7633","31770","66578","0.4772"
"Alexander, Illinois","1496","1262","2820","6478","0.4353"
"Bond, Illinois","4884","2066","7462","16824","0.4435"
