name, republican voters, democratic voters, total voters, population, turnout
"Broadwater, Montana","2329","566","3097","5747","0.5389"
"Carbon, Montana","3729","1824","5923","10460","0.5663"
"Carter, Montana","677","70","777","1203","0.6459"
"Cascade, Montana","19343","12053","33791","81755","0.4133"
"Chouteau, Montana","1676","729","2571","5759","0.4464"
"Custer, Montana","3638","1172","5145","11924","0.4315"
"Daniels, Montana","729","167","952","1755","0.5425"
"Dawson, Montana","3298","786","4297","9327","0.4607"
"Deer Lodge, Montana","1736","2018","4099","9085","0.4512"
"Fallon, Montana","1276","154","1474","3120","0.4724"
"Fergus, Montana","4235","1196","5782","11413","0.5066"
"Flathead, Montana","30079","13233","46144","98082","0.4705"
"Gallatin, Montana","23360","23879","52169","104502","0.4992"
"Garfield, Montana","653","34","715","1310","0.5458"
"Glacier, Montana","1598","3076","4969","13694","0.3629"
"Golden Valley, Montana","365","71","468","831","0.5632"
"Granite, Montana","1185","469","1762","3368","0.5232"
"Hill, Montana","3446","2350","6347","16542","0.3837"
"Jefferson, Montana","4099","1975","6535","11853","0.5513"
"Judith Basin, Montana","867","232","1189","1940","0.6129"
"Lake, Montana","7453","4703","12898","29758","0.4334"
"Lewis and Clark, Montana","16665","14331","33697","67282","0.5008"
"Liberty, Montana","695","205","949","2409","0.3939"
"Lincoln, Montana","6720","2040","9250","19259","0.4803"
"Madison, Montana","3280","1175","4708","7924","0.5941"
"McCone, Montana","858","154","1056","1700","0.6212"
"Meagher, Montana","728","191","970","1827","0.5309"
"Mineral, Montana","1322","515","1974","4184","0.4718"
"Missoula, Montana","21699","30740","57271","116130","0.4932"
"Musselshell, Montana","1961","331","2404","4589","0.5239"
"Park, Montana","4872","3521","9056","16114","0.5620"
"Petroleum, Montana","276","30","319","489","0.6524"
"Phillips, Montana","1715","315","2147","4133","0.5195"
"Pondera, Montana","1786","737","2692","6084","0.4425"
"Powder River, Montana","880","127","1047","1746","0.5997"
"Powell, Montana","2017","549","2768","6858","0.4036"
"Prairie, Montana","555","100","686","1182","0.5804"
"Ravalli, Montana","14673","6166","22063","42088","0.5242"
"Richland, Montana","3885","669","4812","11482","0.4191"
"Roosevelt, Montana","1722","1504","3486","11305","0.3084"
"Rosebud, Montana","2211","969","3357","9287","0.3615"
"Sanders, Montana","4268","1211","5871","11534","0.5090"
"Sheridan, Montana","1237","476","1825","3648","0.5003"
"Silver Bow, Montana","6252","8545","16122","34553","0.4666"
"Stillwater, Montana","3630","904","4816","9406","0.5120"
"Sweet Grass, Montana","1580","398","2077","3623","0.5733"
"Teton, Montana","2152","803","3143","6056","0.5190"
"Toole, Montana","1495","399","2018","4977","0.4055"
"Treasure, Montana","350","59","441","692","0.6373"
"Valley, Montana","2697","886","3860","7539","0.5120"
"Wheatland, Montana","698","179","932","2117","0.4402"
"Wibaux, Montana","460","55","533","1093","0.4876"
"Yellowstone, Montana","38675","21117","64675","158437","0.4082"
"Alamance, North Carolina","38235","29268","69264","159688","0.4337"
"Alexander, North Carolina","13826","3750","18011","37428","0.4812"
"Alleghany, North Carolina","3789","1300","5214","10848","0.4806"
"Anson, North Carolina","4480","5785","10394","25448","0.4084"
"Ashe, North Carolina","9353","3476","13160","26924","0.4888"
"Avery, North Carolina","6226","1670","8060","17516","0.4602"
"Beaufort, North Carolina","14478","8699","23599","47526","0.4965"
"Bertie, North Carolina","3476","5837","9380","19854","0.4724"
"Bladen, North Carolina","8511","7021","15743","33741","0.4666"
"Brunswick, North Carolina","42440","23117","67255","126953","0.5298"
"Buncombe, North Carolina","55339","74937","134507","256088","0.5252"
"Burke, North Carolina","25741","10930","37638","88851","0.4236"
"Cabarrus, North Carolina","53224","35048","91002","201590","0.4514"
"Caldwell, North Carolina","26499","8403","35747","81449","0.4389"
"Camden, North Carolina","3527","1266","4939","10418","0.4741"
"Carteret, North Carolina","26228","9806","36919","68890","0.5359"
"Caswell, North Carolina","5758","4549","10515","22910","0.4590"
"Catawba, North Carolina","48062","21050","71065","156459","0.4542"
"Chatham, North Carolina","17012","20953","39080","72243","0.5410"
"Cherokee, North Carolina","10711","2809","13860","27905","0.4967"
"Chowan, North Carolina","3983","2965","7108","14383","0.4942"
"Clay, North Carolina","4395","1352","5885","10915","0.5392"
"Cleveland, North Carolina","28394","14896","44137","97144","0.4543"
"Columbus, North Carolina","14177","8991","23472","56505","0.4154"
"Craven, North Carolina","27556","17481","46231","103445","0.4469"
"Cumberland, North Carolina","50593","70523","124402","327127","0.3803"
"Currituck, North Carolina","9070","2879","12423","25809","0.4813"
"Dare, North Carolina","11283","7079","19009","35964","0.5286"
"Davidson, North Carolina","52870","17328","72013","164926","0.4366"
"Davie, North Carolina","15502","5228","21350","42013","0.5082"
"Duplin, North Carolina","12151","8196","20601","58969","0.3494"
"Durham, North Carolina","27879","118783","150543","306212","0.4916"
"Edgecombe, North Carolina","8219","16152","24653","53318","0.4624"
"Forsyth, North Carolina","74793","92488","172509","371511","0.4643"
"Franklin, North Carolina","16320","12811","29902","64705","0.4621"
"Gaston, North Carolina","61467","30982","94872","216965","0.4373"
"Gates, North Carolina","2851","2371","5328","11478","0.4642"
"Graham, North Carolina","3260","761","4094","8558","0.4784"
"Granville, North Carolina","13500","12827","26920","59031","0.4560"
"Greene, North Carolina","4358","3570","8013","21168","0.3785"
"Guilford, North Carolina","97461","147949","252087","521330","0.4835"
"Halifax, North Carolina","8954","15642","24881","51766","0.4806"
"Harnett, North Carolina","27278","16452","44955","130881","0.3435"
"Haywood, North Carolina","18844","10414","30156","60682","0.4970"
"Henderson, North Carolina","35535","19664","56810","114209","0.4974"
"Hertford, North Carolina","3081","6886","10100","24136","0.4185"
"Hoke, North Carolina","7676","9608","17847","53262","0.3351"
"Hyde, North Carolina","1275","956","2273","5517","0.4120"
"Iredell, North Carolina","54164","24441","80727","172916","0.4669"
"Jackson, North Carolina","9706","7564","18004","42241","0.4262"
"Johnston, North Carolina","54082","28153","84553","191450","0.4416"
"Jones, North Carolina","2941","2041","5039","9845","0.5118"
"Lee, North Carolina","13625","10380","24676","59616","0.4139"
"Lenoir, North Carolina","13354","11752","25500","57307","0.4450"
"Lincoln, North Carolina","28653","9836","39449","81168","0.4860"
"Macon, North Carolina","12035","4841","17336","34376","0.5043"
"Madison, North Carolina","6735","3899","10966","21340","0.5139"
"Martin, North Carolina","5874","5814","11852","23172","0.5115"
"McDowell, North Carolina","14517","4645","19557","45075","0.4339"
"Mecklenburg, North Carolina","154303","292258","461834","1054835","0.4378"
"Mitchell, North Carolina","6225","1585","7948","15126","0.5255"
"Montgomery, North Carolina","7070","4108","11449","27418","0.4176"
"Moore, North Carolina","30273","16148","47746","95776","0.4985"
"Nash, North Carolina","23142","23024","46903","94005","0.4989"
"New Hanover, North Carolina","54665","50219","108737","223483","0.4866"
"Northampton, North Carolina","3556","6113","9761","20000","0.4880"
"Onslow, North Carolina","36342","17156","55364","187136","0.2958"
"Orange, North Carolina","18373","59105","79830","141796","0.5630"
"Pamlico, North Carolina","4225","2427","6772","12821","0.5282"
"Pasquotank, North Carolina","8082","8455","16964","39864","0.4255"
"Pender, North Carolina","17317","9086","27072","59090","0.4581"
"Perquimans, North Carolina","4143","2291","6595","13335","0.4946"
"Person, North Carolina","11116","7772","19303","39284","0.4914"
"Pitt, North Carolina","35191","40967","78264","177220","0.4416"
"Polk, North Carolina","6738","3715","10723","20334","0.5273"
"Randolph, North Carolina","49156","13074","63615","143416","0.4436"
"Richmond, North Carolina","10199","8290","18813","44939","0.4186"
"Robeson, North Carolina","20294","18377","39454","133235","0.2961"
"Rockingham, North Carolina","26463","14057","41374","91393","0.4527"
"Rowan, North Carolina","42388","19208","63078","139933","0.4508"
"Rutherford, North Carolina","21694","7451","29764","66421","0.4481"
"Sampson, North Carolina","14761","10486","25638","63124","0.4062"
"Scotland, North Carolina","6212","7279","13743","35244","0.3899"
"Stanly, North Carolina","21788","7008","29451","60791","0.4845"
"Stokes, North Carolina","16976","4645","22182","46097","0.4812"
"Surry, North Carolina","23495","7438","31663","72113","0.4391"
"Swain, North Carolina","3557","2186","5982","14346","0.4170"
"Transylvania, North Carolina","10441","6520","17440","33482","0.5209"
"Tyrrell, North Carolina","968","705","1700","4141","0.4105"
"Union, North Carolina","66265","34051","103596","226606","0.4572"
"Vance, North Carolina","7304","12168","19762","44244","0.4467"
"Wake, North Carolina","193607","298353","510940","1046791","0.4881"
"Warren, North Carolina","3302","6668","10123","19907","0.5085"
"Washington, North Carolina","2560","3490","6115","12195","0.5014"
"Watauga, North Carolina","13521","13953","28769","53922","0.5335"
"Wayne, North Carolina","27360","21520","49824","124150","0.4013"
"Wilkes, North Carolina","23613","6596","30844","68740","0.4487"
"Wilson, North Carolina","17410","19527","37593","81661","0.4604"
"Yadkin, North Carolina","13815","3140","17350","37532","0.4623"
"Yancey, North Carolina","6367","3181","9808","17678","0.5548"
"Adams, North Dakota","904","216","1206","2305","0.5232"
"Barnes, North Dakota","3156","1597","5253","10926","0.4808"
"Benson, North Dakota","927","842","1940","6739","0.2879"
"Billings, North Dakota","492","58","592","934","0.6338"
"Bottineau, North Dakota","2482","734","3437","6579","0.5224"
"Bowman, North Dakota","1445","227","1769","3241","0.5458"
"Burke, North Dakota","879","118","1031","2198","0.4691"
"Burleigh, North Dakota","32499","10865","46874","94487","0.4961"
"Cass, North Dakota","39738","31291","78807","175249","0.4497"
"Cavalier, North Dakota","1356","476","1969","3827","0.5145"
"Dickey, North Dakota","1656","551","2372","5064","0.4684"
"Divide, North Dakota","860","243","1187","2413","0.4919"
"Dunn, North Dakota","1753","356","2199","4366","0.5037"
"Eddy, North Dakota","790","354","1219","2358","0.5170"
"Emmons, North Dakota","1672","215","1959","3346","0.5855"
"Foster, North Dakota","1237","346","1699","3303","0.5144"
"Golden Valley, North Dakota","793","99","942","1817","0.5184"
"Grand Forks, North Dakota","16325","10828","29711","71083","0.4180"
"Grant, North Dakota","1098","187","1361","2377","0.5726"
"Griggs, North Dakota","847","298","1247","2277","0.5477"
"Hettinger, North Dakota","1032","168","1261","2629","0.4797"
"Kidder, North Dakota","1106","179","1358","2414","0.5626"
"LaMoure, North Dakota","1475","500","2115","4111","0.5145"
"Logan, North Dakota","867","112","1030","1941","0.5307"
"McHenry, North Dakota","1991","474","2687","5963","0.4506"
"McIntosh, North Dakota","1095","233","1423","2656","0.5358"
"McKenzie, North Dakota","3661","696","4594","12621","0.3640"
"McLean, North Dakota","3827","1070","5206","9729","0.5351"
"Mercer, North Dakota","3715","616","4564","8694","0.5250"
"Morton, North Dakota","11319","3077","15547","30809","0.5046"
"Mountrail, North Dakota","2551","1211","4009","10242","0.3914"
"Nelson, North Dakota","1025","536","1694","2960","0.5723"
"Oliver, North Dakota","827","119","1002","1870","0.5358"
"Pembina, North Dakota","2204","681","3093","7069","0.4375"
"Pierce, North Dakota","1433","431","2020","4267","0.4734"
"Ramsey, North Dakota","3216","1505","5218","11547","0.4519"
"Ransom, North Dakota","1209","836","2317","5404","0.4288"
"Renville, North Dakota","978","200","1255","2550","0.4922"
"Richland, North Dakota","4759","2064","7460","16353","0.4562"
"Rolette, North Dakota","1210","2097","3662","14659","0.2498"
"Sargent, North Dakota","1088","693","1978","3890","0.5085"
"Sheridan, North Dakota","644","94","774","1322","0.5855"
"Sioux, North Dakota","256","758","1177","4469","0.2634"
"Slope, North Dakota","361","42","427","763","0.5596"
"Stark, North Dakota","9718","1745","12115","31199","0.3883"
"Steele, North Dakota","537","361","984","1962","0.5015"
"Stutsman, North Dakota","6706","2484","9938","21128","0.4704"
"Towner, North Dakota","733","305","1137","2263","0.5024"
"Traill, North Dakota","2263","1239","3864","8030","0.4812"
"Walsh, North Dakota","2991","1166","4543","10904","0.4166"
"Ward, North Dakota","18601","5792","26861","70210","0.3826"
"Wells, North Dakota","1793","419","2352","4098","0.5739"
"Williams, North Dakota","10033","1722","12529","34337","0.3649"
"Adams, Nebraska","9205","3272","13172","31684","0.4157"
"Antelope, Nebraska","2717","381","3220","6329","0.5088"
"Arthur, Nebraska","237","16","263","469","0.5608"
"Banner, Nebraska","355","18","390","798","0.4887"
"Blaine, Nebraska","273","30","313","484","0.6467"
"Boone, Nebraska","2299","414","2867","5332","0.5377"
"Box Butte, Nebraska","3550","953","4761","11194","0.4253"
"Boyd, Nebraska","978","128","1142","1982","0.5762"
"Brown, Nebraska","1380","153","1579","2960","0.5334"
"Buffalo, Nebraska","14424","4690","20477","49383","0.4147"
"Burt, Nebraska","2360","928","3523","6546","0.5382"
"Butler, Nebraska","3068","690","3914","8052","0.4861"
"Cass, Nebraska","8388","3461","12609","25767","0.4893"
"Cedar, Nebraska","3533","572","4360","8671","0.5028"
"Chase, Nebraska","1621","171","1851","3937","0.4702"
"Cherry, Nebraska","2623","317","3082","5832","0.5285"
"Cheyenne, Nebraska","3610","702","4569","10051","0.4546"
"Clay, Nebraska","2373","470","2973","6163","0.4824"
"Colfax, Nebraska","2171","857","3172","10414","0.3046"
"Cuming, Nebraska","3095","712","3988","9016","0.4423"
"Custer, Nebraska","4616","635","5489","10807","0.5079"
"Dakota, Nebraska","4028","2904","7259","20465","0.3547"
"Dawes, Nebraska","2559","785","3578","8979","0.3985"
"Dawson, Nebraska","5935","2116","8486","23640","0.3590"
"Deuel, Nebraska","809","120","977","1873","0.5216"
"Dixon, Nebraska","2041","556","2744","5762","0.4762"
"Dodge, Nebraska","9736","4451","14959","36757","0.4070"
"Douglas, Nebraska","102151","105207","219531","554995","0.3956"
"Dundy, Nebraska","823","89","949","1831","0.5183"
"Fillmore, Nebraska","2100","610","2879","5720","0.5033"
"Franklin, Nebraska","1345","250","1656","3014","0.5494"
"Frontier, Nebraska","1106","161","1310","2621","0.4998"
"Furnas, Nebraska","1915","304","2315","4787","0.4836"
"Gage, Nebraska","6333","2930","9854","21799","0.4520"
"Garden, Nebraska","869","153","1063","1930","0.5508"
"Garfield, Nebraska","819","121","968","2011","0.4814"
"Gosper, Nebraska","792","165","1000","1971","0.5074"
"Grant, Nebraska","367","20","394","641","0.6147"
"Greeley, Nebraska","911","210","1165","2399","0.4856"
"Hall, Nebraska","14139","6142","21331","61705","0.3457"
"Hamilton, Nebraska","3763","873","4902","9186","0.5336"
"Harlan, Nebraska","1302","219","1582","3473","0.4555"
"Hayes, Nebraska","471","30","510","897","0.5686"
"Hitchcock, Nebraska","1216","158","1440","2825","0.5097"
"Holt, Nebraska","4275","522","4979","10250","0.4858"
"Hooker, Nebraska","355","40","414","708","0.5847"
"Howard, Nebraska","2284","544","2958","6429","0.4601"
"Jefferson, Nebraska","2387","831","3430","7177","0.4779"
"Johnson, Nebraska","1348","560","2051","5171","0.3966"
"Kearney, Nebraska","2519","550","3242","6552","0.4948"
"Keith, Nebraska","3203","560","3945","8018","0.4920"
"Keya Paha, Nebraska","458","39","514","791","0.6498"
"Kimball, Nebraska","1317","227","1636","3679","0.4447"
"Knox, Nebraska","3181","715","4061","8571","0.4738"
"Lancaster, Nebraska","60456","60533","129803","309637","0.4192"
"Lincoln, Nebraska","11992","2878","15674","35550","0.4409"
"Logan, Nebraska","400","32","451","772","0.5842"
"Loup, Nebraska","323","48","382","591","0.6464"
"Madison, Nebraska","10518","2663","13956","35015","0.3986"
"McPherson, Nebraska","257","14","286","493","0.5801"
"Merrick, Nebraska","2914","601","3707","7828","0.4736"
"Morrill, Nebraska","1788","282","2166","4787","0.4525"
"Nance, Nebraska","1257","280","1599","3576","0.4471"
"Nemaha, Nebraska","2068","765","3035","6971","0.4354"
"Nuckolls, Nebraska","1709","348","2153","4265","0.5048"
"Otoe, Nebraska","4833","2017","7279","16081","0.4526"
"Pawnee, Nebraska","970","279","1314","2652","0.4955"
"Perkins, Nebraska","1202","160","1418","2898","0.4893"
"Phelps, Nebraska","3832","571","4609","9266","0.4974"
"Pierce, Nebraska","3052","382","3580","7159","0.5001"
"Platte, Nebraska","10864","2612","14047","32861","0.4275"
"Polk, Nebraska","2019","411","2538","5203","0.4878"
"Red Willow, Nebraska","4212","638","5061","10722","0.4720"
"Richardson, Nebraska","2684","798","3666","8060","0.4548"
"Rock, Nebraska","687","70","793","1390","0.5705"
"Saline, Nebraska","2849","1630","4795","14331","0.3346"
"Sarpy, Nebraska","44649","27704","77781","179023","0.4345"
"Saunders, Nebraska","7486","2509","10598","21038","0.5038"
"Scotts Bluff, Nebraska","9952","3151","13895","36422","0.3815"
"Seward, Nebraska","5451","1881","7754","17284","0.4486"
"Sheridan, Nebraska","2192","286","2565","5234","0.4901"
"Sherman, Nebraska","1143","338","1553","3054","0.5085"
"Sioux, Nebraska","602","77","709","1242","0.5709"
"Stanton, Nebraska","2173","417","2748","5944","0.4623"
"Thayer, Nebraska","1993","490","2613","5101","0.5123"
"Thomas, Nebraska","344","30","387","716","0.5405"
"Thurston, Nebraska","1013","911","2029","7127","0.2847"
"Valley, Nebraska","1770","337","2172","4184","0.5191"
"Washington, Nebraska","7374","2606","10584","20603","0.5137"
"Wayne, Nebraska","2675","828","3740","9365","0.3994"
"Webster, Nebraska","1320","306","1687","3603","0.4682"
"Wheeler, Nebraska","377","62","459","776","0.5915"
"York, Nebraska","4686","1181","6256","13794","0.4535"
"Belknap, New Hampshire","19315","13517","34462","60779","0.5670"
"Carroll, New Hampshire","14635","12987","29063","47289","0.6146"
"Cheshire, New Hampshire","16876","22064","41080","75774","0.5421"
"Coos, New Hampshire","7951","6558","15255","32039","0.4761"
"Grafton, New Hampshire","19010","28510","50065","88888","0.5632"
"Hillsborough, New Hampshire","100013","99589","210622","407761","0.5165"
"Merrimack, New Hampshire","37674","40198","81982","148582","0.5518"
"Rockingham, New Hampshire","90447","79994","179005","303251","0.5903"
"Strafford, New Hampshire","29072","34894","67918","127428","0.5330"
"Sullivan, New Hampshire","10796","10210","22101","43004","0.5139"
"Atlantic, New Jersey","47882","54472","105738","270991","0.3902"
"Bergen, New Jersey","163220","209251","383965","939151","0.4088"
"Burlington, New Jersey","79539","108361","194988","449284","0.4340"
"Camden, New Jersey","71020","142375","220437","510150","0.4321"
"Cape May, New Jersey","28237","18626","48375","94430","0.5123"
"Cumberland, New Jersey","24213","27045","53018","153797","0.3447"
"Essex, New Jersey","62059","231031","299808","796914","0.3762"
"Gloucester, New Jersey","66949","66355","138388","292330","0.4734"
"Hudson, New Jersey","45615","149980","201425","677983","0.2971"
"Hunterdon, New Jersey","38565","28797","70582","124676","0.5661"
"Mercer, New Jersey","42604","93721","141332","371023","0.3809"
"Middlesex, New Jersey","108981","164887","282668","837073","0.3377"
"Monmouth, New Jersey","165305","135825","311474","625846","0.4977"
"Morris, New Jersey","125376","114437","248848","498423","0.4993"
"Ocean, New Jersey","170103","81845","259592","592497","0.4381"
"Passaic, New Jersey","71488","112608","189099","507945","0.3723"
"Salem, New Jersey","16256","11766","29220","63436","0.4606"
"Somerset, New Jersey","64640","83839","154249","333751","0.4622"
"Sussex, New Jersey","46486","24132","73860","142522","0.5182"
"Union, New Jersey","67582","145412","219385","555630","0.3948"
"Warren, New Jersey","29393","16991","48442","106617","0.4544"
"Bernalillo, New Mexico","93874","141960","269861","676953","0.3986"
"Catron, New Mexico","1453","426","2024","3508","0.5770"
"Chaves, New Mexico","12869","5530","20159","65282","0.3088"
"Cibola, New Mexico","3179","3721","7975","27487","0.2901"
"Colfax, New Mexico","2569","2118","5271","12253","0.4302"
"Curry, New Mexico","7560","2776","11292","50280","0.2246"
"De Baca, New Mexico","617","192","903","1793","0.5036"
"Dona Ana, New Mexico","25095","37543","69324","214207","0.3236"
"Eddy, New Mexico","13124","5008","19523","57621","0.3388"
"Grant, New Mexico","5251","6226","12633","28280","0.4467"
"Guadalupe, New Mexico","591","962","1809","4376","0.4134"
"Harding, New Mexico","311","156","527","665","0.7925"
"Hidalgo, New Mexico","906","780","1836","4302","0.4268"
"Lea, New Mexico","12306","3877","17369","69749","0.2490"
"Lincoln, New Mexico","5889","2329","8856","19429","0.4558"
"Los Alamos, New Mexico","3329","5443","10430","18147","0.5748"
"Luna, New Mexico","3478","3195","7245","24450","0.2963"
"McKinley, New Mexico","4893","13162","20791","74923","0.2775"
"Mora, New Mexico","662","1533","2429","4504","0.5393"
"Otero, New Mexico","11756","6033","19636","65410","0.3002"
"Quay, New Mexico","2208","1016","3550","8365","0.4244"
"Rio Arriba, New Mexico","3583","9534","14767","40040","0.3688"
"Roosevelt, New Mexico","3865","1445","5855","19082","0.3068"
"Sandoval, New Mexico","25748","27405","60597","142025","0.4267"
"San Juan, New Mexico","27879","12826","45476","115079","0.3952"
"San Miguel, New Mexico","2302","7249","10662","27760","0.3841"
"Santa Fe, New Mexico","14198","49956","70082","148651","0.4715"
"Sierra, New Mexico","2998","1600","5129","11191","0.4583"
"Socorro, New Mexico","2592","3275","6756","17027","0.3968"
"Taos, New Mexico","2706","10550","15072","33065","0.4558"
"Torrance, New Mexico","3695","1770","6250","15302","0.4084"
"Union, New Mexico","1214","318","1688","4183","0.4035"
"Valencia, New Mexico","13175","10810","27350","75626","0.3616"
"Carson City, Nevada","13125","9610","25016","54742","0.4570"
"Churchill, Nevada","7828","2210","10936","24198","0.4519"
"Clark, Nevada","319571","401068","765421","2155664","0.3551"
"Douglas, Nevada","17406","8453","27871","48020","0.5804"
"Elko, Nevada","13542","3400","18545","52168","0.3555"
"Esmeralda, Nevada","329","65","423","790","0.5354"
"Eureka, Nevada","723","74","854","1917","0.4455"
"Humboldt, Nevada","4521","1386","6433","16842","0.3820"
"Lander, Nevada","1828","403","2413","5702","0.4232"
"Lincoln, Nevada","1671","285","2132","5055","0.4218"
"Lyon, Nevada","16005","6146","23762","53179","0.4468"
"Mineral, Nevada","1179","637","1997","4449","0.4489"
"Nye, Nevada","13320","5095","19592","43423","0.4512"
"Pershing, Nevada","1403","430","1982","6560","0.3021"
"Storey, Nevada","1616","752","2558","4051","0.6314"
"Washoe, Nevada","94529","97032","209282","453616","0.4614"
"White Pine, Nevada","2723","707","3773","9682","0.3897"
"Albany, New York","44227","74775","125644","308846","0.4068"
"Allegany, New York","11712","4473","17111","47077","0.3635"
"Bronx, New York","34424","318403","358857","1455720","0.2465"
"Broome, New York","38077","35212","77657","195334","0.3976"
"Cattaraugus, New York","18668","8717","28961","77677","0.3728"
"Cayuga, New York","16194","12202","30124","77861","0.3869"
"Chautauqua, New York","29418","17281","49381","129504","0.3813"
"Chemung, New York","19025","12394","33195","86322","0.3845"
"Chenango, New York","11024","5943","18113","48579","0.3729"
"Clinton, New York","13181","13446","28378","81073","0.3500"
"Columbia, New York","12756","13123","27255","60989","0.4469"
"Cortland, New York","9207","7976","18424","48070","0.3833"
"Delaware, New York","11012","5825","17778","45523","0.3905"
"Dutchess, New York","58163","56874","120199","294473","0.4082"
"Erie, New York","173817","192065","383248","921046","0.4161"
"Essex, New York","7275","6760","15079","38102","0.3958"
"Franklin, New York","7636","6517","15148","50409","0.3005"
"Fulton, New York","12759","5805","19563","53828","0.3634"
"Genesee, New York","15986","6946","24463","58482","0.4183"
"Greene, New York","11546","6370","18869","47508","0.3972"
"Hamilton, New York","1795","752","2688","4542","0.5918"
"Herkimer, New York","15664","7289","24261","62613","0.3875"
"Jefferson, New York","19947","12289","34263","114006","0.3005"
"Kings, New York","133653","595086","746295","2629150","0.2839"
"Lewis, New York","6916","2828","10312","26865","0.3838"
"Livingston, New York","19211","10478","31363","64257","0.4881"
"Madison, New York","14901","10548","27392","71329","0.3840"
"Monroe, New York","128871","174063","320164","747727","0.4282"
"Montgomery, New York","10579","5961","17438","49276","0.3539"
"Nassau, New York","275479","307326","599649","1361500","0.4404"
"New York, New York","58935","515481","591368","1643734","0.3598"
"Niagara, New York","49223","32888","86000","211758","0.4061"
"Oneida, New York","48490","30749","83876","231190","0.3628"
"Onondaga, New York","78277","102915","191962","466194","0.4118"
"Ontario, New York","24343","20233","47664","109828","0.4340"
"Orange, New York","72129","63037","140753","379210","0.3712"
"Orleans, New York","11582","4327","16722","41346","0.4044"
"Oswego, New York","25870","15614","44122","118987","0.3708"
"Otsego, New York","12284","9285","23024","60097","0.3831"
"Putnam, New York","25241","17363","44186","98900","0.4468"
"Queens, New York","138550","473389","627021","2333054","0.2688"
"Rensselaer, New York","31933","30039","65991","160070","0.4123"
"Richmond, New York","95612","67561","167209","476015","0.3513"
"Rockland, New York","57148","63454","123943","326780","0.3793"
"Saratoga, New York","51088","46546","104089","227053","0.4584"
"Schenectady, New York","27268","30870","61629","154553","0.3988"
"Schoharie, New York","8173","3777","12673","31317","0.4047"
"Schuyler, New York","5179","2761","8423","18099","0.4654"
"Seneca, New York","6719","5175","12727","34777","0.3660"
"St. Lawrence, New York","18450","14659","35154","110038","0.3195"
"Steuben, New York","25091","11215","38373","96940","0.3958"
"Suffolk, New York","328403","276953","625720","1492583","0.4192"
"Sullivan, New York","14626","10983","26509","74801","0.3544"
"Tioga, New York","12528","6852","20556","48760","0.4216"
"Tompkins, New York","9647","25555","37747","104871","0.3599"
"Ulster, New York","32962","40010","77134","179225","0.4304"
"Warren, New York","14284","11366","27568","64567","0.4270"
"Washington, New York","12770","8238","22401","61800","0.3625"
"Wayne, New York","21935","12378","36598","90798","0.4031"
"Westchester, New York","121643","245670","378506","974542","0.3884"
"Wyoming, New York","11884","3585","16280","40791","0.3991"
"Yates, New York","5180","3219","8975","24923","0.3601"
"Adams, Ohio","8445","2293","11063","27907","0.3964"
"Allen, Ohio","29858","12815","44636","103742","0.4303"
"Ashland, Ohio","17169","5659","24074","53652","0.4487"
"Ashtabula, Ohio","22755","15191","39809","98231","0.4053"
"Athens, Ohio","10816","15552","27941","66186","0.4222"
"Auglaize, Ohio","18130","3825","22860","45894","0.4981"
"Belmont, Ohio","20729","8652","30537","68673","0.4447"
"Brown, Ohio","14257","4270","19139","43759","0.4374"
"Butler, Ohio","104441","56700","168422","377537","0.4461"
"Carroll, Ohio","9067","3124","12807","27669","0.4629"
"Champaign, Ohio","12314","4488","17597","38747","0.4542"
"Clark, Ohio","34311","22666","59620","134786","0.4423"
"Clermont, Ohio","65960","26096","96455","203022","0.4751"
"Clinton, Ohio","13466","3943","18100","41902","0.4320"
"Columbiana, Ohio","31086","12273","45261","103685","0.4365"
"Coshocton, Ohio","10381","3908","14961","36602","0.4087"
"Crawford, Ohio","13265","4518","18702","42083","0.4444"
"Cuyahoga, Ohio","179894","383974","583230","1249352","0.4668"
"Darke, Ohio","19698","4395","25000","51778","0.4828"
"Defiance, Ohio","11478","5282","17795","38158","0.4664"
"Delaware, Ohio","55660","39584","100101","196463","0.5095"
"Erie, Ohio","19301","15692","36730","75107","0.4890"
"Fairfield, Ohio","43163","24150","70542","152597","0.4623"
"Fayette, Ohio","7763","2672","10817","28676","0.3772"
"Franklin, Ohio","192328","335961","554711","1264518","0.4387"
"Fulton, Ohio","13419","5981","20693","42514","0.4867"
"Gallia, Ohio","9567","2564","12588","30015","0.4194"
"Geauga, Ohio","29577","17165","48736","94060","0.5181"
"Greene, Ohio","47506","28023","79633","164765","0.4833"
"Guernsey, Ohio","11164","4286","16156","39063","0.4136"
"Hamilton, Ohio","169972","207587","395000","809099","0.4882"
"Hancock, Ohio","23777","9419","35216","75872","0.4642"
"Hardin, Ohio","8541","2870","12014","31474","0.3817"
"Harrison, Ohio","5021","1663","6956","15307","0.4544"
"Henry, Ohio","9136","3690","13671","27629","0.4948"
"Highland, Ohio","13005","3436","17048","43029","0.3962"
"Hocking, Ohio","8282","3713","12513","28340","0.4415"
"Holmes, Ohio","8578","1766","10823","43936","0.2463"
"Huron, Ohio","15930","7080","24332","58439","0.4164"
"Jackson, Ohio","9618","3142","13239","32505","0.4073"
"Jefferson, Ohio","20668","9483","31346","66704","0.4699"
"Knox, Ohio","18563","7959","27768","60814","0.4566"
"Lake, Ohio","62627","45056","112790","228614","0.4934"
